13:13:09,LIGHTS turned ON
13:13:09,AIRCON turned ON
13:13:43,LIGHTS turned OFF after 0:00:33.364722
13:13:43,AIRCON turned OFF after 0:00:33.364394
13:14:18,LIGHTS turned ON
13:14:18,AIRCON turned ON
13:15:09,LIGHTS turned OFF after 0:00:50.821726
13:15:09,AIRCON turned OFF after 0:00:50.821594
13:15:16,LIGHTS turned ON
13:15:16,AIRCON turned ON
13:15:41,LIGHTS turned OFF after 0:00:25.176870
13:15:41,AIRCON turned OFF after 0:00:25.176776
13:15:47,LIGHTS turned ON
13:15:47,AIRCON turned ON
13:16:08,LIGHTS turned OFF after 0:00:20.835234
13:16:08,AIRCON turned OFF after 0:00:20.834817
13:16:14,LIGHTS turned ON
13:16:14,AIRCON turned ON
13:16:41,LIGHTS turned ON
13:16:41,AIRCON turned ON
13:18:55,LIGHTS turned ON
13:18:55,AIRCON turned ON
13:36:17,LIGHTS turned ON
13:36:17,AIRCON turned ON
13:37:02,LIGHTS turned OFF after 0:00:45.127014
13:37:02,AIRCON turned OFF after 0:00:45.126748
13:37:25,LIGHTS turned ON
13:37:25,AIRCON turned ON
13:42:51,LIGHTS turned ON
13:42:51,AIRCON turned ON
13:43:15,LIGHTS turned OFF after 0:00:23.960038
13:43:15,AIRCON turned OFF after 0:00:23.960504
13:43:21,LIGHTS turned ON
13:43:21,AIRCON turned ON
13:43:36,LIGHTS turned OFF after 0:00:15.041891
13:43:36,AIRCON turned OFF after 0:00:15.042122
13:43:39,LIGHTS turned ON
13:43:39,AIRCON turned ON
13:43:57,LIGHTS turned OFF after 0:00:18.120017
13:43:57,AIRCON turned OFF after 0:00:18.120122
13:44:00,LIGHTS turned ON
13:44:00,AIRCON turned ON
13:45:59,LIGHTS turned ON
13:45:59,AIRCON turned ON
13:48:05,LIGHTS turned OFF after 0:02:06.184233
13:48:05,AIRCON turned OFF after 0:02:06.185052
13:48:12,LIGHTS turned ON
13:48:12,AIRCON turned ON
13:52:00,LIGHTS turned ON
13:52:00,AIRCON turned ON
13:52:32,LIGHTS turned OFF after 0:00:31.953883
13:52:32,AIRCON turned OFF after 0:00:31.965048
13:52:33,LIGHTS turned ON
13:52:33,AIRCON turned ON
13:54:41,LIGHTS turned ON
13:54:41,AIRCON turned ON
13:55:14,LIGHTS turned ON
13:55:14,AIRCON turned ON
13:55:50,LIGHTS turned OFF after 0:00:36.273370
13:55:50,AIRCON turned OFF after 0:00:36.271748
13:55:54,LIGHTS turned ON
13:55:54,AIRCON turned ON
13:58:29,LIGHTS turned OFF after 0:02:35.141095
13:58:29,AIRCON turned OFF after 0:02:35.139757
13:58:33,LIGHTS turned ON
13:58:33,AIRCON turned ON
13:58:48,LIGHTS turned OFF after 0:00:15.071792
13:58:48,AIRCON turned OFF after 0:00:15.072037
13:58:50,LIGHTS turned ON
13:58:50,AIRCON turned ON
13:59:12,LIGHTS turned OFF after 0:00:22.578241
13:59:12,AIRCON turned OFF after 0:00:22.578500
13:59:24,LIGHTS turned ON
13:59:24,AIRCON turned ON
13:59:41,LIGHTS turned OFF after 0:00:16.541887
13:59:41,AIRCON turned OFF after 0:00:16.542224
13:59:44,LIGHTS turned ON
